"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Single Family Residential","9610 Monterey Rd","MORGAN HILL","CA","95037","710000","2","1.0","MORGAN HILL","780","19650","1950","80","910","","Active","","","http://www.redfin.com/CA/Morgan-Hill/9610-Monterey-Rd-95037/home/40176560","MLSListings","ML81655438","N","Y","37.1988777","-121.7202275"
"MLS Listing","","Single Family Residential","162 Carling Ct","SAN JOSE","CA","95111","779950","4","2.5","SAN JOSE","1732","6160","1963","80","450","","Active","","","http://www.redfin.com/CA/San-Jose/162-Carling-Ct-95111/home/1420971","MLSListings","ML81655413","N","Y","37.2656281","-121.8129442"
"MLS Listing","","Townhouse","107 Bob Hansen Ct","SAN JOSE","CA","95116","500000","3","2.0","SAN JOSE","1249","1425","2008","82","400","156","Active","","","http://www.redfin.com/CA/San-Jose/107-Bob-Hansen-Ct-95116/home/17569775","MLSListings","ML81655025","N","Y","37.3539433","-121.8504636"
"MLS Listing","","Single Family Residential","16710 San Dimas Ln","MORGAN HILL","CA","95037","835000","3","3.0","MORGAN HILL","2180","4997","2014","84","383","185","Active","","","http://www.redfin.com/CA/Morgan-Hill/16710-San-Dimas-Ln-95037/home/55517555","MLSListings","ML81651058","N","Y","37.1273983","-121.6340817"
"MLS Listing","","Single Family Residential","16550 Jackson Oaks Dr","MORGAN HILL","CA","95037","899000","3","2.0","MORGAN HILL","2400","12400","1973","85","375","33","Active","","","http://www.redfin.com/CA/Morgan-Hill/16550-Jackson-Oaks-Dr-95037/home/845152","MLSListings","ML81654498","N","Y","37.141151","-121.5889938"
"MLS Listing","","Condo/Co-op","181 Del Medio Ave #310","MOUNTAIN VIEW","CA","94040","789000","2","1.0","MOUNTAIN VIEW","936","936","1962","87","843","441","Active","","","http://www.redfin.com/CA/Mountain-View/181-Del-Medio-Ave-94040/unit-310/home/12171976","MLSListings","ML81653303","N","Y","37.4082939","-122.111453"
"MLS Listing","","Condo/Co-op","7658 Falkirk Dr","SAN JOSE","CA","95135","698000","2","2.0","SAN JOSE","1509","1898","1988","87","463","828","Active","","","http://www.redfin.com/CA/San-Jose/7658-Falkirk-Dr-95135/home/966124","MLSListings","ML81654210","N","Y","37.2897008","-121.7411745"
"MLS Listing","","Single Family Residential","220 Bella Vista Ln","WATSONVILLE","CA","95076","775000","3","3.0","WATSONVILLE","1616","79933","1954","95","480","","Active","","","http://www.redfin.com/CA/Watsonville/220-Bella-Vista-Ln-95076/home/2424736","MLSListings","ML81653103","N","Y","36.989661","-121.70946"
"MLS Listing","","Single Family Residential","29200 Loma Chiquita Rd","LOS GATOS","CA","95033","799000","3","2.5","LOS GATOS","2357","217364","1999","97","339","","Active","","","http://www.redfin.com/CA/Los-Gatos/29200-Loma-Chiquita-Rd-95033/home/1703162","MLSListings","ML81652878","N","Y","37.100524","-121.802254"
"MLS Listing","","Condo/Co-op","1101 S Main St #318","MILPITAS","CA","95035","549000","1","1.0","MILPITAS","926","435","2007","102","593","465","Active","","","http://www.redfin.com/CA/Milpitas/1101-S-Main-St-95035/unit-318/home/17289664","MLSListings","ML81652201","N","Y","37.413869","-121.9029015"
"MLS Listing","","Single Family Residential","296 La Pala Dr","SAN JOSE","CA","95127","770400","4","3.0","SAN JOSE","1712","3651","2017","102","450","","Active","","","http://www.redfin.com/CA/San-Jose/296-La-Pala-95127/home/104315860","MLSListings","ML81652199","N","Y","37.3787755","-121.8300293"
"MLS Listing","","Single Family Residential","4450 Roop Rd","GILROY","CA","95020","760000","3","2.0","GILROY","1076","415998","1900","104","706","","Active","","","http://www.redfin.com/CA/Gilroy/4450-Roop-Rd-95020/home/107690363","MLSListings","ML81651776","N","Y","37.063544","-121.520874"
"MLS Listing","","Single Family Residential","21440 Roaring Water Way","LOS GATOS","CA","95033","499900","4","2.0","LOS GATOS","1680","7200","1976","105","298","","Active","","","http://www.redfin.com/CA/Los-Gatos/21440-Roaring-Water-Way-95033/home/917292","MLSListings","ML81651584","N","N","37.1591113","-121.9705022"
"MLS Listing","","Single Family Residential","1118 N COOK St","SAN JOSE","CA","95126","849000","4","2.0","SAN JOSE","1084","3080","1942","110","783","","Active","","","http://www.redfin.com/CA/San-Jose/1118-Cook-St-95126/home/680842","MLSListings","ML81650934","N","Y","37.3458973","-121.9263596"
"MLS Listing","","Single Family Residential","1523 Eden Ave","SAN JOSE","CA","95117","739888","3","2.0","SAN JOSE","1075","2969","1966","111","688","","Active","","","http://www.redfin.com/CA/San-Jose/1523-Eden-Ave-95117/home/112869917","MLSListings","ML81650628","N","Y","37.296116","-121.954728"
"MLS Listing","","Single Family Residential","275 W 6th St","GILROY","CA","95020","525000","4","2.5","GILROY","1852","10220","1910","126","283","","Active","","","http://www.redfin.com/CA/Gilroy/275-W-6th-St-95020/home/1772963","MLSListings","ML81648279","N","Y","37.0060341","-121.5720166"
"MLS Listing","","Condo/Co-op","8416 Chenin Blanc Ln","SAN JOSE","CA","95135","689000","2","2.0","SAN JOSE","1497","2660","1978","150","460","914","Active","","","http://www.redfin.com/CA/San-Jose/8416-Chenin-Blanc-Ln-95135/home/1218684","MLSListings","ML81644871","N","Y","37.282393","-121.749607"
"MLS Listing","","Single Family Residential","3768 Mckee Rd","SAN JOSE","CA","95127","670000","3","3.5","SAN JOSE","1434","1807","2017","235","467","","Active","","","http://www.redfin.com/CA/San-Jose/3768-McKee-Rd-95127/home/104314633","MLSListings","ML81634825","N","Y","37.3787896","-121.8301461"
"MLS Listing","","Single Family Residential","37125 San Antonio Valley Rd","San Jose","CA","95140","450000","3","2.0","Santa Clara","1500","26267987","","453","","","Active","","","http://www.redfin.com/CA/Mount-Hamilton/37125-San-Antonio-Valley-Rd-95140/home/17494442","MetroList","16034566","N","N","37.3549727","-121.5619136"
"MLS Listing","","Single Family Residential","2968 Pickford Way","Hayward","CA","94541","649950","3","2.0","Fairview","1229","6350","1962","1","529","","Active","","","http://www.redfin.com/CA/Hayward/2968-Pickford-Way-94541/home/1314755","EBRD/CCAR/Bay East","40794992","N","Y","37.6834838","-122.0520356"
"MLS Listing","","Single Family Residential","3316 Coolidge Ave","Oakland","CA","94602","549900","3","2.0","Oakland","1241","3910","1918","1","443","","Active","","","http://www.redfin.com/CA/Oakland/3316-Coolidge-Ave-94602/home/979939","EBRD/CCAR/Bay East","40794987","N","Y","37.7960595","-122.2108908"
